source,n_docs,mean,std,min,p25,median,max,neg_share
10-K,263,0.9892,0.0677,0.3334,1.0,1.0,1.0,0.0
10-Q,791,0.9998,0.0031,0.9177,1.0,1.0,1.0,0.0
8-K,4070,0.842,0.2814,-0.3333,0.8279,1.0,1.0,0.0098
