ticker,sector,date,avg_sent,neg_share,n_docs,text_volume,sent_mom,sent_vol
AAPL,Information Tech.,2019-01-02,6.747869520040695e-06,0.0,1,0.6931471805599453,,
AAPL,Information Tech.,2019-01-29,9.025776307680644e-06,0.0,1,0.6931471805599453,,
AAPL,Information Tech.,2019-01-30,1.627126221137587e-05,0.0,1,0.6931471805599453,0.00083844392975152,4.972942349474782e-06
AAPL,Information Tech.,2019-02-06,7.110449587344192e-06,0.0,1,0.6931471805599453,-0.0003571186425688211,4.4356638205821515e-06
AAPL,Information Tech.,2019-03-04,1.2666818292927928e-05,0.0,1,0.6931471805599453,0.0002877978886317578,4.051282221832248e-06
AAPL,Information Tech.,2019-04-30,8.234246706706472e-06,0.0,1,0.6931471805599453,-0.0002130188477167394,3.7639023261426347e-06
AAPL,Information Tech.,2019-05-01,3.0408139082283014e-06,0.0,1,0.6931471805599453,-0.000762089671297872,5.121173535677953e-06
AAPL,Information Tech.,2019-07-30,1.1234089470235631e-05,0.0,1,0.6931471805599453,0.0001769371328919078,3.762734524492688e-06
AAPL,Information Tech.,2019-07-31,2.807533974191756e-06,0.0,1,0.6931471805599453,-0.0005649749618896749,4.556187462386983e-06
AAPL,Information Tech.,2019-09-11,-8.95028279046528e-07,1.0,1,0.6931471805599453,-0.0008491728749504546,4.8128474602549295e-06
AAPL,Information Tech.,2019-09-13,-8.37128573039081e-06,1.0,1,0.6931471805599453,-0.0013255616886453936,7.106242080784187e-06
AAPL,Information Tech.,2019-10-30,-7.069335879350547e-06,1.0,1,0.6931471805599453,-0.0008632560547994216,7.966955377545831e-06
AAPL,Information Tech.,2019-10-31,2.778512680379208e-06,0.0,1,0.6931471805599453,0.00032373179692513077,5.323217917008996e-06
AAPL,Information Tech.,2019-11-15,-0.00032505320268683136,1.0,1,0.6931471805599453,-0.0322903282039988,0.00014392425721804377
AAPL,Information Tech.,2020-01-28,-1.6469100955873728e-05,1.0,1,0.6931471805599453,0.005125296702317428,0.0001422754988646384
AAPL,Information Tech.,2020-01-29,2.474367875038297e-06,0.0,1,0.6931471805599453,0.007331125038945174,0.000143542966843017
AAPL,Information Tech.,2020-02-18,1.1557476682355627e-05,0.0,1,0.6931471805599453,0.008022522847568325,0.00014576579171054194
AAPL,Information Tech.,2020-02-27,4.7200723201967776e-05,0.0,1,0.6931471805599453,0.011214311248295417,0.00015213970117081797
AAPL,Information Tech.,2020-04-30,-1.5515102859353647e-05,1.0,1,0.6931471805599453,0.004054284431731503,2.6021444900227905e-05
AAPL,Information Tech.,2020-05-01,3.1980689527699724e-06,0.0,1,0.6931471805599453,-0.0002651603836056893,2.3130100549800637e-05
AAPL,Information Tech.,2020-05-11,5.212268661125563e-07,0.0,1,0.6931471805599453,-0.0009261879904443049,2.330025755725073e-05
AAPL,Information Tech.,2020-07-30,-1.0765439583337866e-05,1.0,1,0.6931471805599453,-0.0020157918152108323,2.486764935720261e-05
AAPL,Information Tech.,2020-07-31,3.357751211297e-06,0.0,1,0.6931471805599453,-0.0001570144104334759,8.726856172424846e-06
AAPL,Information Tech.,2020-08-07,3.804494917858392e-05,0.0,1,0.6931471805599453,0.004188564826108632,1.8364449804322528e-05
AAPL,Information Tech.,2020-08-20,-2.810620571835898e-06,1.0,1,0.6931471805599453,-0.0009681931896921013,1.885496149712424e-05
AAPL,Information Tech.,2020-10-29,-6.3382940425071865e-06,1.0,1,0.6931471805599453,-0.001200786746267113,1.9559595442988177e-05
AAPL,Information Tech.,2020-10-30,2.5692681902000913e-06,0.0,1,0.6931471805599453,-0.00017284010482399023,1.7824409752493624e-05
AAPL,Information Tech.,2021-01-05,2.547174062783597e-06,0.0,1,0.6931471805599453,-0.00044174367303639883,1.7869046115140018e-05
AAPL,Information Tech.,2021-01-27,-8.571917533117812e-06,1.0,1,0.6931471805599453,-0.0015374412896562717,5.0711545869651085e-06
AAPL,Information Tech.,2021-01-28,2.839619355654577e-06,0.0,1,0.6931471805599453,0.0005360497334550018,5.593129133935259e-06
AAPL,Information Tech.,2021-02-08,2.9371890377660748e-06,0.0,1,0.6931471805599453,0.00043280190311634215,5.054201345858038e-06
AAPL,Information Tech.,2021-02-24,0.00011061967234127223,0.0,1,0.6931471805599453,0.011015540571861493,4.974179383317713e-05
AAPL,Information Tech.,2021-04-28,-8.326376701006666e-06,1.0,1,0.6931471805599453,-0.00304007241538784,5.1029968945219546e-05
AAPL,Information Tech.,2021-04-29,2.894801809816272e-06,0.0,1,0.6931471805599453,-0.001700483549029741,4.967008351898739e-05
AAPL,Information Tech.,2021-07-27,-8.020670975383837e-06,1.0,1,0.6931471805599453,-0.0030213652144084335,5.094897390609282e-05
AAPL,Information Tech.,2021-07-28,3.0044921004446223e-06,0.0,1,0.6931471805599453,-0.0017016431002048193,5.09433406267385e-05
AAPL,Information Tech.,2021-08-05,5.323054210748523e-07,0.0,1,0.6931471805599453,-0.0019502078293953673,5.737741019922596e-06
AAPL,Information Tech.,2021-10-28,-1.2828056242142338e-05,1.0,1,0.6931471805599453,-0.0010844966573131387,7.159079443452311e-06
AAPL,Information Tech.,2021-10-29,2.2146557512314757e-06,0.0,1,0.6931471805599453,0.0005098081328469561,7.027084667086861e-06
AAPL,Information Tech.,2021-11-12,4.5229116949485615e-06,0.0,1,0.6931471805599453,0.0007542366483903606,7.03431786433929e-06
AAPL,Information Tech.,2022-01-27,-1.3798668078379706e-05,1.0,1,0.6931471805599453,-0.001328792982349114,8.741703315289523e-06
AAPL,Information Tech.,2022-01-28,7.498765626223758e-07,0.0,1,0.6931471805599453,0.00046212468532758066,8.769600941244339e-06
AAPL,Information Tech.,2022-03-04,5.115445674164221e-06,0.0,1,0.6931471805599453,0.0008943301736508147,7.781529302527578e-06
AAPL,Information Tech.,2022-04-28,-1.4506455045193434e-05,1.0,1,0.6931471805599453,-0.001426729936611082,9.795717489773322e-06
AAPL,Information Tech.,2022-04-29,2.0795991986233275e-06,0.0,1,0.6931471805599453,0.0005662977036990924,9.340606889950988e-06
AAPL,Information Tech.,2022-07-28,-1.3468910765368491e-05,1.0,1,0.6931471805599453,-0.0009396870427735848,9.2555373553064e-06
AAPL,Information Tech.,2022-07-29,2.5493663997622207e-06,0.0,1,0.6931471805599453,0.0006555455274792621,9.517970382686025e-06
