Variable,N,Mean,Std,Min,P25,Median,Max,Skew,Kurt
AvgSent (firm-day),"4,555",-0.0057,0.0579,-0.6528,-0.0,0.0,0.4997,-3.602,42.405
NegShare,"4,555",0.481,0.4859,0.0,0.0,0.5,1.0,0.076,-1.938
TextVolume log(1+N),"4,555",0.74,0.1377,0.6931,0.6931,0.6931,1.6094,2.811,6.935
SentMomentum (wins.),"4,467",-0.2435,2.3269,-20.4631,-0.0027,0.0009,1.7591,-7.624,61.128
SentVol (5-day std),"4,467",0.0196,0.0512,0.0,0.0,0.0001,0.4221,2.976,9.174
