Variable,N,Mean,Std,Min,P25,Median,Max,Skew,Kurt
AvgSent (firm-day),"4,055",-0.0065,0.0615,-0.6528,-0.0,-0.0,0.4997,-3.363,37.114
NegShare (threshold=-0.05),"4,055",0.0314,0.1731,0.0,0.0,0.0,1.0,5.379,27.07
TextVolume log(1+N),"4,055",0.7181,0.0995,0.6931,0.6931,0.6931,1.6094,3.879,14.108
SentMomentum (wins.),"3,967",-0.2643,2.4281,-20.8782,-0.0033,0.0013,1.681,-7.399,57.537
SentVol (5-day std),"3,967",0.0211,0.0529,0.0,0.0,0.0001,0.422,2.875,8.802
